Cross,Replicate,Mother_strain,Father_strain,Treatment,Block,Gen_1,Gen_2,Gen_3,Gen_4,Gen_5,Gen_6,Gen_7,Gen_8,Gen_9,Gen_10,Gen_11,Gen_12,Gen_13,Gen_14,Gen_15,Gen_16,Gen_17,Gen_18,Gen_19,Gen_20
10,18,P4_3xp_female,P2_UBI_female,Female,2,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,19,P4_3xp_female,P2_UBI_female,Female,2,NO,NO,NO,NA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
11,16,P3_3xp_female,P4_3xp_female,Female,2,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,17,P3_3xp_female,P4_3xp_female,Female,2,NO,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,22,P3_3xp_female,P4_3xp_female,Female,2,NO,NO,NO,NA,NO,NO,NO,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,11,P4_3xp_female,P3_3xp_female,Female,2,NO,NO,NO,NA,NO,NO,NO,NO,NO,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,12,P4_3xp_female,P3_3xp_female,Female,2,NO,NO,NO,NA,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,13,P4_3xp_female,P3_3xp_female,Female,2,NO,NO,NO,NA,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,14,P4_3xp_female,P3_3xp_female,Female,2,NO,NO,NO,NA,FEMALE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA
12,18,P4_3xp_female,P3_3xp_female,Female,2,NO,NO,NO,NA,NO,NO,NO,NO,NO,NO,NO,NO,MALE,NA,NA,NA,NA,NA,NA,NA
12,19,P4_3xp_female,P3_3xp_female,Female,2,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,11,P1_3xp_male,P2_3xp_male,Male,2,NO,NO,NO,NA,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,13,P1_3xp_male,P2_3xp_male,Male,2,NO,NO,NO,NA,MALE,NO,NO,FEMALE,FEMALE,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,15,P1_3xp_male,P2_3xp_male,Male,2,NO,NO,NO,NA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FEMALE,NO,NO,MALE,NA,NA
13,16,P1_3xp_male,P2_3xp_male,Male,2,NO,NO,NO,NA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
13,18,P1_3xp_male,P2_3xp_male,Male,2,NO,NO,NO,NA,NO,NO,NO,MALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,21,P1_3xp_male,P2_3xp_male,Male,2,NO,NO,NO,NA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
13,22,P1_3xp_male,P2_3xp_male,Male,2,NO,NO,NO,NA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
14,12,P2_3xp_male,P1_3xp_male,Male,2,NO,NO,NO,NA,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,13,P2_3xp_male,P1_3xp_male,Male,2,NO,NO,NO,NA,NO,NO,NO,NO,NO,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,14,P2_3xp_male,P1_3xp_male,Male,2,NO,NO,NO,NA,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,18,P2_3xp_male,P1_3xp_male,Male,2,NO,NO,NO,NA,NO,NO,NO,NO,NO,NO,NO,NO,NO,FEMALE,NA,NA,NA,NA,NA,NA
14,19,P2_3xp_male,P1_3xp_male,Male,2,NO,NO,NO,NA,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,20,P2_3xp_male,P1_3xp_male,Male,2,NO,NO,NO,NA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
14,21,P2_3xp_male,P1_3xp_male,Male,2,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
